Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,bootstrap,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start,mae,mse,r2,rmse
2022-03-02 00:16:07,20ms,63f8d6b30bd04260a8382eeba2694765,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1045,,,,,,178511.0047131263,69108964675.23871,0.7558571619183811,262885.839624805
2022-03-01 23:38:04,16ms,3a5ab675a4364b6c99f66264e9b8178f,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,90,3,,,,2,5,,1750,,,,,,178515.62243638854,69418058923.37177,0.7547652175182802,263473.0705847787
2022-03-02 00:13:28,23ms,d36243113aa7452f885e36204fdc2cd4,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1180,,,,,,178553.85009213025,69098981505.7043,0.7558924296923181,262866.85128730914
2022-03-02 00:12:53,22ms,92abfab61d1747efbd8a6614d86c2e37,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1180,,,,,,178553.85009213025,69098981505.7043,0.7558924296923181,262866.85128730914
2022-03-02 00:12:46,130ms,584e700c23e649a28e730268988c6d93,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1180,,,,,,178553.85009213025,69098981505.7043,0.7558924296923181,262866.85128730914
2022-03-02 00:09:08,28ms,fdde571cc84a4145aab0dc671c490b4a,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,100,4,,,,1,10,,1180,,,,,,178553.85009213025,69098981505.7043,0.7558924296923181,262866.85128730914
2022-03-02 00:07:55,20ms,fdd7ad57d06f45f599609ef194e5d0d2,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,110,4,,,,1,10,,1180,,,,,,178553.85009213025,69098981505.7043,0.7558924296923181,262866.85128730914
2022-03-04 19:53:58,7.3s,cc2b04e950fe4cadaee4788e046ba2b9,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,0.0,squared_error,70,4,None,None,0.0,1,10,0.0,1195,None,False,1234,0,False,178578.84559682338,69128827209.82314,0.7557869930830104,262923.6147815999
2022-03-04 19:52:39,25ms,c166331138754a81b68b339b31c634cb,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,70,4,,,,1,10,,1195,,,,,,178578.84559682338,69128827209.82314,0.7557869930830104,262923.6147815999
2022-03-04 19:50:45,26ms,29503fb29c9247c1a1368555f5968632,,LOCAL,/Users/samihaddouti/Documents/DHBW 4.Semester/Data Exploration/Project/rd_forest.py,samihaddouti,FINISHED,True,,,60,4,,,,1,10,,1240,,,,,,178588.69021232773,69154055915.4498,0.7556978670510729,262971.58765815326
